,activation_type,min_proportion,Run,Active,Average Jailing Term,Jailed,Quiescent,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
45,default,0.8999999999999999,45,0,6.465116279069767,215,939,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
46,default,0.8999999999999999,46,201,10.682539682539682,378,572,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
47,default,0.8999999999999999,47,69,9.014705882352942,68,1038,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
48,default,0.8999999999999999,48,254,10.356902356902356,297,598,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
49,default,0.8999999999999999,49,58,11.837310195227765,461,596,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
50,linear,0.5,50,516,10.228070175438596,627,42,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
51,linear,0.5,51,165,10.210332103321033,813,142,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
52,linear,0.5,52,569,10.25137614678899,545,44,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
53,linear,0.5,53,354,10.263674614305751,713,64,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
54,linear,0.5,54,265,10.342928660826033,799,62,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
55,linear,0.5,55,419,10.613953488372093,645,55,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
56,linear,0.5,56,464,10.77889447236181,597,53,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
57,linear,0.5,57,340,10.43661971830986,710,88,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
58,linear,0.5,58,437,10.479495268138802,634,40,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
59,linear,0.5,59,320,10.81965006729475,743,70,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
60,linear,0.6,60,1,9.025196850393701,635,473,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
61,linear,0.6,61,377,10.63076923076923,715,62,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
62,linear,0.6,62,276,10.504563233376793,767,85,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
63,linear,0.6,63,305,10.56473829201102,726,93,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
64,linear,0.6,64,430,10.201907790143084,629,70,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
65,linear,0.6,65,372,10.548251748251749,715,63,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
